team_number,team_name_short,city,region_key,lat,lon,group
6633,Technosaurus Rex,Reston,VA,38.9583737,-77.3579805,5
5262,Cirke,Haymarket,VA,38.812149055938384,-77.63734937977894,5
354,Team Vector,Haymarket,VA,38.8121398,-77.6368038,5
25188,Herndon Hawks,Herndon,VA,38.95365362950825,-77.38567350251353,5
4634,FROGbots,Gainesville,VA,38.795479,-77.6125977,5
23566,Jover,Haymarket,VA,38.81242377648728,-77.63700695137402,5
23362,METAL MAGIC,Ashburn,VA,39.00440138040057,-77.49167033131714,5
12096,Absolute Zero,Sterling,VA,39.0017455,-77.4033349,5
1885,Bobcats ASPIRE,Haymarket,VA,38.8122664076317,-77.63586907202247,5
21459,Techy Titans,Frederick,MD,39.415779,-77.4127562,5
16439,AlphaGo,Ashburn,VA,39.00543257383894,-77.49140185439487,5
19640,Foxcroft,Middleburg,VA,38.9690189,-77.7355056,5
194,Mozzarella Mechanics,Haymarket,VA,38.81193525523064,-77.63658847563192,5
14052,Nerdy Narwhals,Reston,VA,38.959022559570656,-77.35723851812517,5
15167,Robo Troopers,Herndon,VA,38.95344871052078,-77.3857089608353,5
13353,Circuit Breakers,Aldie,VA,38.9755174,-77.6413094,5
20127,Apollo's Architects,Brunswick,MD,39.31122089227823,-77.62684070003705,5
23265,Clever Coding Sheep Robotics,Williamsburg,VA,37.2708788,-76.7074042,6
24225,The GMS Cool Ranch Doritos,Goochland,VA,37.7204342,-77.8837984,6
384,The Aviators,Norfolk,VA,36.8448348,-76.2863999,6
19969,Artificial Unintelligence,Hampton,VA,37.0300969,-76.3452057,6
293,Phantom of the OpMode,Virginia Beach,VA,36.8529841,-75.9774183,6
19832,SBS R0b0tics,Chesapeake,VA,36.7183708,-76.2466798,6
23669,Fiery Phoenix,Midlothian,VA,37.5062673,-77.649268,6
15304,CircuiTree,Mechanicsville,VA,37.603148276372124,-77.37253868559156,6
6158,Spartabots,Henrico,VA,37.5131191,-77.3465081,6
16067,Retronic Lions Purple,Richmond,VA,37.537815447408306,-77.4349659280392,6
23218,Glory,Poquoson,VA,37.1241861,-76.3921461,6
19630,Watt Bots,Chesterfield,VA,37.385819926264155,-77.57760814568611,6
19527,Petersburg High School (PHS),Petersburg,VA,37.227928,-77.4019268,6
7278,LibraryBots,Chesterfield,VA,37.3859982,-77.578509,6
7039,Lord of the Bricks,Mechanicsville,VA,37.6039694,-77.3717321,6
20005,Bucket Bots,Mechanicsville,VA,37.60431449770095,-77.37115950224269,6
22254,Veritech,Richmond,VA,37.5376596588142,-77.43447258466945,6
21092,Vernon Johns Middle School,Petersburg,VA,37.227592618551334,-77.4027080671738,6
12838,LHS Kinetic Storm,Lancaster,VA,37.7625738,-76.4723233,6
16839,Portable Blue Devils,Victoria,VA,36.9948938,-78.2273673,6
24977,Retronic Lions Gold,Richmond,VA,37.53893692310752,-77.43334986538736,6
2930,Saint Servos,Richmond,VA,37.5385087,-77.43428,6
